time,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
1.10280000e-04,1.98504000e-01,4.29148072e-12,1.09997245e-11,1.24123848e-11,2.87882050e-12
1.11280000e-04,2.00304000e-01,4.29441346e-12,1.16285136e-11,1.30497106e-11,2.87321651e-12
1.12280000e-04,2.02104000e-01,4.29738583e-12,1.22914926e-11,1.37213792e-11,2.86749920e-12
1.13280000e-04,2.03904000e-01,4.30057837e-12,1.29905305e-11,1.44292066e-11,2.86190228e-12
1.14280000e-04,2.05704000e-01,4.30381418e-12,1.37275521e-11,1.51751727e-11,2.85619363e-12
1.15280000e-04,2.07504000e-01,4.30727384e-12,1.45046298e-11,1.59612966e-11,2.85060706e-12
1.16280000e-04,2.09304000e-01,4.31078048e-12,1.53239025e-11,1.67897724e-11,2.84491058e-12
1.17280000e-04,2.11104000e-01,4.31451468e-12,1.61876680e-11,1.76628446e-11,2.83933811e-12
1.18280000e-04,2.12904000e-01,4.31829960e-12,1.70983028e-11,1.85829447e-11,2.83365778e-12
1.19280000e-04,2.14704000e-01,4.32231585e-12,1.80583548e-11,1.95525670e-11,2.82810363e-12
1.20280000e-04,2.16504000e-01,4.32638659e-12,1.90704636e-11,2.05744062e-11,2.82244393e-12
1.21280000e-04,2.18304000e-01,4.33069246e-12,2.01374542e-11,2.16512338e-11,2.81691288e-12
1.22280000e-04,2.20104000e-01,4.33505664e-12,2.12622581e-11,2.27860358e-11,2.81127888e-12
1.23280000e-04,2.21904000e-01,4.33965978e-12,2.24480075e-11,2.39818910e-11,2.80577628e-12
1.24280000e-04,2.23704000e-01,4.34432506e-12,2.36979571e-11,2.52421085e-11,2.80017365e-12
1.25280000e-04,2.25504000e-01,4.34923316e-12,2.50155796e-11,2.65701072e-11,2.79470553e-12
1.26280000e-04,2.27304000e-01,4.35420727e-12,2.64044879e-11,2.79695546e-11,2.78914065e-12
1.27280000e-04,2.29104000e-01,4.35942806e-12,2.78685319e-11,2.94442463e-11,2.78371374e-12
1.28280000e-04,2.30904000e-01,4.36471874e-12,2.94117214e-11,3.09982464e-11,2.77819375e-12
1.29280000e-04,2.32704000e-01,4.37025998e-12,3.10383239e-11,3.26357682e-11,2.77281560e-12
1.30280000e-04,2.34504000e-01,4.37587498e-12,3.27527887e-11,3.43613152e-11,2.76734846e-12
1.31280000e-04,2.36304000e-01,4.38174443e-12,3.45598458e-11,3.61795628e-11,2.76202748e-12
1.32280000e-04,2.38104000e-01,4.38769153e-12,3.64644315e-11,3.80955009e-11,2.75662209e-12
1.33280000e-04,2.39904000e-01,4.39389695e-12,3.84717877e-11,4.01143170e-11,2.75136768e-12
1.34280000e-04,2.41704000e-01,4.40018389e-12,4.05873895e-11,4.22415394e-11,2.74603395e-12
1.35280000e-04,2.43504000e-01,4.40673302e-12,4.28170458e-11,4.44829222e-11,2.74085658e-12
1.36280000e-04,2.45304000e-01,4.41336752e-12,4.51668278e-11,4.68445898e-11,2.73560555e-12
1.37280000e-04,2.47104000e-01,4.42026804e-12,4.76431718e-11,4.93329230e-11,2.73051686e-12
1.38280000e-04,2.48904000e-01,4.42725777e-12,5.02528089e-11,5.19547058e-11,2.72536082e-12
1.39280000e-04,2.50704000e-01,4.43451733e-12,5.30028691e-11,5.47170127e-11,2.72037375e-12
1.40280000e-04,2.52504000e-01,4.44186987e-12,5.59008135e-11,5.76273570e-11,2.71532634e-12
1.41280000e-04,2.54304000e-01,4.44949602e-12,5.89545396e-11,6.06935803e-11,2.71045529e-12
1.42280000e-04,2.56104000e-01,4.45721890e-12,6.21723155e-11,6.39240027e-11,2.70553167e-12
1.43280000e-04,2.57904000e-01,4.46521910e-12,6.55628875e-11,6.73273139e-11,2.70079261e-12
1.44280000e-04,2.59704000e-01,4.47331972e-12,6.91354156e-11,7.09127258e-11,2.69600960e-12
1.45280000e-04,2.61504000e-01,4.48170132e-12,7.28995844e-11,7.46898654e-11,2.69142023e-12
1.46280000e-04,2.63304000e-01,4.49018695e-12,7.68655399e-11,7.86689303e-11,2.68679649e-12
1.47280000e-04,2.65104000e-01,4.49895714e-12,8.10440028e-11,8.28605835e-11,2.68237646e-12
1.48280000e-04,2.66904000e-01,4.50783492e-12,8.54462090e-11,8.72761112e-11,2.67793267e-12
1.49280000e-04,2.68704000e-01,4.51700075e-12,9.00840238e-11,9.19273208e-11,2.67370375e-12
1.50280000e-04,2.70504000e-01,4.52627762e-12,9.49698860e-11,9.68267008e-11,2.66946280e-12
1.51280000e-04,2.72304000e-01,4.53584595e-12,1.00116925e-10,1.01987322e-10,2.66544909e-12
1.52280000e-04,2.74104000e-01,4.54552868e-12,1.05538909e-10,1.07423001e-10,2.66143635e-12
1.53280000e-04,2.75904000e-01,4.55550618e-12,1.11250361e-10,1.13148203e-10,2.65766452e-12
1.54280000e-04,2.77704000e-01,4.56560132e-12,1.17266515e-10,1.19178209e-10,2.65390805e-12
1.55280000e-04,2.79504000e-01,4.57599441e-12,1.23603436e-10,1.25529023e-10,2.65040763e-12
1.56280000e-04,2.81304000e-01,4.58650826e-12,1.30277973e-10,1.32217543e-10,2.64693848e-12
1.57280000e-04,2.83104000e-01,4.59732312e-12,1.37307889e-10,1.39261470e-10,2.64374210e-12
1.58280000e-04,2.84904000e-01,4.60826174e-12,1.44711815e-10,1.46679483e-10,2.64059458e-12
1.59280000e-04,2.86704000e-01,4.61950428e-12,1.52509388e-10,1.54491154e-10,2.63773832e-12
