# hostname: saiwaicho
# ngspice: ******
# gmin: 1e-14
# source: nfetdc.cir
# timestamp: 2026-01-24T17:33:51Z
v-sweep,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
1.96000000e-01,1.96000000e-01,-0.00000000e+00,1.08409580e-11,1.08078289e-11,3.31290735e-14
1.97000000e-01,1.97000000e-01,-0.00000000e+00,1.11635513e-11,1.11302692e-11,3.32820932e-14
1.98000000e-01,1.98000000e-01,-0.00000000e+00,1.14957438e-11,1.14623041e-11,3.34396662e-14
1.99000000e-01,1.99000000e-01,-0.00000000e+00,1.18378201e-11,1.18042182e-11,3.36019274e-14
2.00000000e-01,2.00000000e-01,-0.00000000e+00,1.21900732e-11,1.21563042e-11,3.37690159e-14
2.01000000e-01,2.01000000e-01,-0.00000000e+00,1.25528045e-11,1.25188634e-11,3.39410745e-14
2.02000000e-01,2.02000000e-01,-0.00000000e+00,1.29263244e-11,1.28922062e-11,3.41182506e-14
2.03000000e-01,2.03000000e-01,-0.00000000e+00,1.33109526e-11,1.32766519e-11,3.43006957e-14
2.04000000e-01,2.04000000e-01,-0.00000000e+00,1.37070179e-11,1.36725294e-11,3.44885658e-14
2.05000000e-01,2.05000000e-01,-0.00000000e+00,1.41148591e-11,1.40801770e-11,3.46820217e-14
2.06000000e-01,2.06000000e-01,-0.00000000e+00,1.45348246e-11,1.44999434e-11,3.48812285e-14
2.07000000e-01,2.07000000e-01,-0.00000000e+00,1.49672734e-11,1.49321871e-11,3.50863566e-14
2.08000000e-01,2.08000000e-01,-0.00000000e+00,1.54125749e-11,1.53772773e-11,3.52975811e-14
2.09000000e-01,2.09000000e-01,-0.00000000e+00,1.58711092e-11,1.58355942e-11,3.55150825e-14
2.10000000e-01,2.10000000e-01,-0.00000000e+00,1.63432680e-11,1.63075289e-11,3.57390463e-14
2.11000000e-01,2.11000000e-01,-0.00000000e+00,1.68294540e-11,1.67934843e-11,3.59696637e-14
2.12000000e-01,2.12000000e-01,-0.00000000e+00,1.73300820e-11,1.72938749e-11,3.62071314e-14
2.13000000e-01,2.13000000e-01,-0.00000000e+00,1.78455790e-11,1.78091273e-11,3.64516520e-14
2.14000000e-01,2.14000000e-01,-0.00000000e+00,1.83763844e-11,1.83396810e-11,3.67034338e-14
2.15000000e-01,2.15000000e-01,-0.00000000e+00,1.89229507e-11,1.88859880e-11,3.69626914e-14
2.16000000e-01,2.16000000e-01,-0.00000000e+00,1.94857433e-11,1.94485137e-11,3.72296457e-14
2.17000000e-01,2.17000000e-01,-0.00000000e+00,2.00652417e-11,2.00277372e-11,3.75045241e-14
2.18000000e-01,2.18000000e-01,-0.00000000e+00,2.06619391e-11,2.06241515e-11,3.77875604e-14
2.19000000e-01,2.19000000e-01,-0.00000000e+00,2.12763433e-11,2.12382643e-11,3.80789955e-14
2.20000000e-01,2.20000000e-01,-0.00000000e+00,2.19089769e-11,2.18705979e-11,3.83790774e-14
2.21000000e-01,2.21000000e-01,-0.00000000e+00,2.25603780e-11,2.25216899e-11,3.86880612e-14
2.22000000e-01,2.22000000e-01,-0.00000000e+00,2.32311001e-11,2.31920939e-11,3.90062095e-14
2.23000000e-01,2.23000000e-01,-0.00000000e+00,2.39217133e-11,2.38823795e-11,3.93337926e-14
2.24000000e-01,2.24000000e-01,-0.00000000e+00,2.46328040e-11,2.45931329e-11,3.96710887e-14
2.25000000e-01,2.25000000e-01,-0.00000000e+00,2.53649760e-11,2.53249576e-11,4.00183842e-14
2.26000000e-01,2.26000000e-01,-0.00000000e+00,2.61188506e-11,2.60784747e-11,4.03759738e-14
2.27000000e-01,2.27000000e-01,-0.00000000e+00,2.68950674e-11,2.68543233e-11,4.07441608e-14
